,Mkt-RF,SMB,HML,RF
20190805,-3.07,-0.03,0.01,0.007
20190806,1.29,-0.43,-0.55,0.007
20190807,0.07,0.09,-0.9,0.007
20190808,1.97,0.09,-0.33,0.007
20190809,-0.78,-0.42,-0.25,0.007
20190812,-1.32,0.28,-0.28,0.007
20190813,1.47,-0.15,-0.54,0.007
20190814,-2.95,0.21,-0.5,0.007
20190815,0.16,-0.62,-0.53,0.007
20190816,1.55,0.54,0.61,0.007
20190819,1.14,0,0.24,0.007
20190820,-0.75,0.3,-0.5,0.007
20190821,0.85,0.07,-0.34,0.007
20190822,-0.1,-0.55,0.49,0.007
20190823,-2.66,-0.56,-0.18,0.007
20190826,1.08,-0.02,-0.19,0.007
20190827,-0.46,-0.88,-0.68,0.007
20190828,0.68,0.48,0.62,0.007
20190829,1.35,0.32,0.33,0.007
20190830,0.03,-0.38,0.25,0.007
20190903,-0.87,-0.96,0.1,0.009
20190904,1.08,-0.23,0.42,0.009
20190905,1.42,0.4,0.69,0.009
20190906,-0.02,-0.37,0.05,0.009
20190909,0.08,0.72,3.07,0.009
20190910,0.17,1.02,1.2,0.009
20190911,0.88,1.33,-0.04,0.009
20190912,0.22,-0.3,-0.17,0.009
20190913,-0.01,0,0.75,0.009
20190916,-0.23,0.93,0.5,0.009
20190917,0.17,-0.6,-1.22,0.009
20190918,-0.05,-0.74,0.06,0.009
20190919,-0.05,-0.43,-0.45,0.009
20190920,-0.48,0.3,0.16,0.009
20190923,-0.02,-0.18,0.51,0.009
20190924,-1.01,-0.75,0.02,0.009
20190925,0.69,0.36,0.53,0.009
20190926,-0.41,-0.97,0.12,0.009
20190927,-0.62,-0.36,0.88,0.009
20190930,0.5,-0.15,-0.48,0.009
20191001,-1.31,-0.47,-0.61,0.007
20191002,-1.73,0.87,-0.35,0.007
20191003,0.8,-0.2,-0.91,0.007
20191004,1.39,-0.49,-0.09,0.007
20191007,-0.41,0.16,-0.02,0.007
20191008,-1.61,-0.14,-0.12,0.007
20191009,0.92,-0.53,-0.12,0.007
20191010,0.59,-0.4,0.27,0.007
20191011,1.23,0.49,0.19,0.007
20191014,-0.18,-0.33,-0.06,0.007
20191015,1.03,0.26,-0.23,0.007
20191016,-0.24,0.39,0.23,0.007
20191017,0.37,0.81,-0.28,0.007
20191018,-0.49,-0.38,0.9,0.007
20191021,0.71,0.18,0.33,0.007
20191022,-0.34,0.21,0.88,0.007
20191023,0.25,-0.09,0.25,0.007
20191024,0.26,-0.26,-0.91,0.007
20191025,0.5,0.28,0.08,0.007
20191028,0.62,0.27,-0.25,0.007
20191029,-0.13,0.28,0.46,0.007
20191030,0.27,-0.39,-1.17,0.007
20191031,-0.38,-0.27,-0.31,0.007
20191101,1.08,0.45,0.79,0.006
20191104,0.4,0.05,1.39,0.006
20191105,-0.03,0.24,0.49,0.006
20191106,-0.05,-0.7,0.18,0.006
20191107,0.38,-0.12,0.53,0.006
20191108,0.31,0.1,-0.38,0.006
20191111,-0.19,-0.01,-0.21,0.006
20191112,0.16,-0.11,-0.14,0.006
20191113,0.01,-0.22,-0.82,0.006
20191114,0.07,-0.12,-0.26,0.006
20191115,0.74,-0.21,-0.35,0.006
20191118,0.02,-0.36,-0.51,0.006
20191119,0.02,0.59,-0.96,0.006
20191120,-0.33,0.02,-0.45,0.006
20191121,-0.14,-0.32,0.12,0.006
20191122,0.24,0.05,0.24,0.006
20191125,0.92,1.31,-0.4,0.006
20191126,0.19,0.05,-0.89,0.006
20191127,0.44,0.23,-0.05,0.006
20191129,-0.42,-0.04,-0.33,0.006
20191202,-0.87,-0.25,0.52,0.007
20191203,-0.66,0.6,-0.83,0.007
20191204,0.6,0.11,0.25,0.007
20191205,0.13,-0.24,0.48,0.007
20191206,0.91,0.24,0.4,0.007
20191209,-0.33,0.36,0.12,0.007
20191210,-0.08,0.29,-0.11,0.007
20191211,0.28,-0.08,0.1,0.007
20191212,0.9,-0.11,1.16,0.007
20191213,-0.03,-0.3,-0.54,0.007
20191216,0.74,0.07,-0.04,0.007
20191217,0.1,0.42,0.68,0.007
20191218,-0.05,0.18,0.1,0.007
20191219,0.43,-0.01,-0.43,0.007
20191220,0.48,-0.3,-0.28,0.007
20191223,0.1,0.2,-0.31,0.007
20191224,0.01,0.37,-0.02,0.007
20191226,0.48,-0.53,-0.02,0.007
20191227,-0.1,-0.53,-0.07,0.007
20191230,-0.57,0.17,0.59,0.007
20191231,0.28,-0.01,0.11,0.007
20200102,0.86,-0.85,-0.36,0.006
20200103,-0.67,0.37,0.02,0.006
20200106,0.36,-0.06,-0.56,0.006
20200107,-0.19,-0.01,-0.21,0.006
20200108,0.47,-0.05,-0.63,0.006
20200109,0.65,-0.63,-0.48,0.006
20200110,-0.34,-0.16,-0.34,0.006
20200113,0.73,-0.09,-0.12,0.006
20200114,-0.06,0.38,-0.14,0.006
20200115,0.16,0.46,-0.83,0.006
20200116,0.88,0.5,-0.11,0.006
20200117,0.28,-0.63,-0.1,0.006
20200121,-0.32,-0.51,-0.6,0.006
20200122,0.08,-0.28,0,0.006
20200123,0.08,-0.05,-0.14,0.006
20200124,-0.97,-0.42,-0.32,0.006
20200127,-1.56,0.37,-0.42,0.006
20200128,1.02,-0.13,-0.43,0.006
20200129,-0.1,-0.26,-0.96,0.006
20200130,0.34,-0.69,0.63,0.006
20200131,-1.74,-0.43,-0.34,0.006
20200203,0.84,0.63,-0.71,0.006
20200204,1.57,-0.01,-0.67,0.006
20200205,0.97,0.29,1.48,0.006
20200206,0.27,-0.45,-0.86,0.006
20200207,-0.55,-0.78,0,0.006
20200210,0.73,-0.01,-0.9,0.006
20200211,0.28,0.05,1.07,0.006
20200212,0.66,0.17,-0.36,0.006
20200213,-0.09,0.17,-0.02,0.006
20200214,0.15,-0.39,-0.68,0.006
20200218,-0.19,0.16,-0.68,0.006
20200219,0.6,0.23,-0.04,0.006
20200220,-0.35,0.46,0.67,0.006
20200221,-1.12,-0.08,0.02,0.006
20200224,-3.39,0.17,-0.01,0.006
20200225,-3.09,-0.09,-0.72,0.006
20200226,-0.52,-0.41,-1.21,0.006
20200227,-4.22,0.75,0.12,0.006
20200228,-0.78,0.28,-0.78,0.006
20200302,4.31,-1.76,-0.4,0.006
20200303,-2.79,0.78,-0.62,0.006
20200304,4.03,-1.05,-1.1,0.006
20200305,-3.38,0.19,-1.37,0.006
20200306,-1.78,0.04,-1.42,0.006
20200309,-7.79,-0.45,-4.7,0.006
20200310,4.74,-2.47,0.78,0.006
20200311,-5.05,-0.84,-0.79,0.006
20200312,-9.63,-0.52,-1.21,0.006
20200313,8.96,-2.71,2.99,0.006
20200316,-12,-0.33,-0.77,0.006
20200317,5.87,0.72,-0.85,0.006
20200318,-5.56,-3.59,-4.71,0.006
20200319,1.31,5.54,0.99,0.006
20200320,-4.15,0.39,-0.9,0.006
20200323,-2.55,2.2,-3.5,0.006
20200324,9.34,-1.18,2.35,0.006
20200325,1.18,-0.68,1.86,0.006
20200326,6.02,-0.67,1.2,0.006
20200327,-3.48,-0.78,-0.69,0.006
20200330,3.16,-0.35,-2.16,0.006
20200331,-1.44,1.81,-0.42,0.006
20200401,-4.51,-1.54,-1.41,0
20200402,2.1,-0.99,-0.28,0
20200403,-1.64,-1.1,-1.13,0
20200406,7.06,0.73,0.27,0
20200407,-0.11,-0.53,2.16,0
20200408,3.4,0.35,1.25,0
20200409,1.59,1.93,3.19,0
20200413,-0.92,-0.72,-2.42,0
20200414,3.02,-0.12,-3.17,0
20200415,-2.15,-1.18,-2.5,0
20200416,0.62,-0.22,-2.99,0
20200417,2.72,0.72,2.71,0
20200420,-1.56,0.79,-0.93,0
20200421,-3.08,0.96,0.11,0
20200422,2.31,-0.7,-1.65,0
20200423,0.13,1.16,0.54,0
20200424,1.44,0.32,-0.12,0
20200427,1.73,1.62,2.68,0
20200428,-0.45,0.88,2.82,0
20200429,2.92,1.85,2,0
20200430,-1.18,-1.39,-1.64,0
20200501,-2.91,-0.56,-1,0
20200504,0.53,0.17,-1.37,0
20200505,0.95,0.09,-1.98,0
20200506,-0.52,0.59,-2.78,0
20200507,1.33,-0.04,0.39,0
20200508,1.9,1.41,2.48,0
20200511,0.07,0.49,-3.75,0
20200512,-2.06,-0.86,-1.35,0
20200513,-1.89,-0.94,-2.12,0
20200514,1.14,-1.49,0.93,0
20200515,0.57,1.62,-1.19,0
20200518,3.24,1.5,4.58,0
20200519,-1.01,-0.56,-1.46,0
20200520,1.8,1.07,1.29,0
20200521,-0.7,0.65,0.41,0
20200522,0.27,0.47,-0.87,0
20200526,1.23,0.04,4.59,0
20200527,1.54,0.61,3.62,0
20200528,-0.41,-1.47,-2.41,0
20200529,0.6,-0.28,-1.97,0
20200601,0.52,-0.02,0.45,0
20200602,0.81,-0.05,0.45,0
20200603,1.42,0.11,2.66,0
20200604,-0.34,-0.24,2.98,0
20200605,2.5,0.73,2.67,0
20200608,1.39,0.37,2.15,0
20200609,-0.85,-0.3,-1.94,0
20200610,-0.56,-0.82,-4.16,0
20200611,-5.91,-0.83,-3.06,0
20200612,1.29,0.36,1.86,0
20200615,1.09,1.42,-0.41,0
20200616,1.86,0.63,0.48,0
20200617,-0.4,-0.91,-1.98,0
20200618,0.19,0.1,-0.56,0
20200619,-0.45,0.09,-0.64,0
20200622,0.71,0.83,-1.44,0
20200623,0.42,0.14,-0.56,0
20200624,-2.61,-0.5,-1.3,0
20200625,1.12,0.26,0.49,0
20200626,-2.44,0.18,-1.42,0
20200629,1.51,1.22,1.77,0
20200630,1.58,0.07,0,0
20200701,0.41,-1.24,-2.51,0
20200702,0.5,-0.01,-0.09,0
20200706,1.65,-0.61,0.37,0
20200707,-1.03,-0.51,-1.53,0
20200708,0.91,0.31,-0.46,0
20200709,-0.53,-0.9,-2.59,0
20200710,1.11,-0.13,3.03,0
20200713,-1.2,-0.78,1.99,0
20200714,1.35,0.36,-0.34,0
20200715,1.14,2.4,1.28,0
20200716,-0.37,-0.37,0.79,0
20200717,0.3,0.18,-1.41,0
20200720,1.01,-0.43,-2.38,0
20200721,0.16,0.83,3.23,0
20200722,0.49,-0.58,-0.34,0
20200723,-1.2,0.72,1.92,0
20200724,-0.75,-0.79,0.46,0
20200727,0.88,0.78,-1.94,0
20200728,-0.81,-0.7,0.97,0
20200729,1.35,0.52,0.87,0
20200730,-0.29,0.5,-1.83,0
20200731,0.61,-1.54,-0.65,0
20200803,0.98,1.2,-0.79,0
20200804,0.37,0.45,0.05,0
20200805,0.78,1.01,0.85,0
20200806,0.53,-0.42,-0.79,0
20200807,0.02,0.85,2.34,0
20200810,0.24,0.81,1.66,0
20200811,-0.83,-0.34,1.57,0
20200812,1.4,-0.48,-1.3,0
20200813,-0.01,0.21,-1.3,0
20200814,-0.04,-0.09,1.03,0
20200817,0.45,0.58,-1.94,0
20200818,0.22,-1.06,-1.39,0
20200819,-0.38,0.47,0.08,0
20200820,0.31,-0.49,-1.52,0
20200821,0.25,-1.06,-0.42,0
20200824,0.92,-0.33,2.56,0
20200825,0.36,0.14,-0.61,0
20200826,1,-1.11,-1.74,0
20200827,0.18,-0.36,0.98,0
20200828,0.7,0.3,-0.22,0
20200831,-0.04,-0.44,-1.75,0
20200901,0.92,0.49,-0.33,0
20200902,1.27,-0.52,-0.43,0
20200903,-3.7,-0.25,2.57,0
20200904,-0.87,-0.2,2.09,0
20200908,-2.91,0.65,-0.18,0
20200909,2.07,-0.16,-1.96,0
20200910,-1.64,0.32,-0.05,0
20200911,-0.06,-0.84,0.91,0
20200914,1.59,1.14,-0.78,0
20200915,0.57,-0.28,-1.42,0
20200916,-0.39,0.71,1.34,0
20200917,-0.85,0.37,0.19,0
20200918,-0.88,0.75,-0.18,0
20200921,-1.08,-1.91,-1.91,0
20200922,1.02,-0.12,-1.65,0
20200923,-2.48,-0.69,0.17,0
20200924,0.25,-0.21,0.32,0
20200925,1.72,0.13,-1.35,0
20200928,1.66,0.71,1.02,0
20200929,-0.42,0.75,-1.3,0
20200930,0.79,-0.69,0.18,0
20201001,0.79,1.06,-0.57,0
20201002,-0.96,1.08,2.44,0
20201005,1.93,0.99,-0.1,0
20201006,-1.28,0.76,0.24,0
20201007,1.84,0.46,0.24,0
20201008,0.8,0.01,1,0
20201009,0.93,0.01,-1.42,0
20201012,1.53,-0.82,-0.14,0
20201013,-0.41,0.19,-1.69,0
20201014,-0.65,0.1,0.06,0
20201015,-0.08,0.88,1.12,0
20201016,-0.06,-0.21,0.06,0
20201019,-1.53,0.36,0.28,0
20201020,0.34,-0.25,1.28,0
20201021,-0.36,-0.43,0.3,0
20201022,0.67,0.59,1.07,0
20201023,0.38,0.43,0.05,0
20201026,-1.85,-0.28,-0.39,0
20201027,-0.23,-0.04,-2.36,0
20201028,-3.41,0.06,0.57,0
20201029,1.13,0.17,0.22,0
20201030,-1.45,-0.79,1.85,0
20201102,1.17,0.45,0.98,0
20201103,1.93,0.94,-0.21,0
20201104,2.25,-1.43,-4.89,0
20201105,2.13,1,0.49,0
20201106,0.01,-0.83,-0.95,0
20201109,0.82,0.7,6.7,0
20201110,-0.17,1.47,2.17,0
20201111,0.88,-0.55,-1.75,0
20201112,-0.94,-0.23,-1.18,0
20201113,1.31,0.58,1.13,0
20201116,1.22,0.74,1.91,0
20201117,-0.19,0.61,0.02,0
20201118,-0.93,-0.01,0,0
20201119,0.59,0.49,-0.72,0
20201120,-0.51,0.7,-0.61,0
20201123,0.83,0.85,1.55,0
20201124,1.56,-0.15,2.73,0
20201125,0.03,0.01,-1.27,0
20201127,0.43,0.45,-1.64,0
20201130,-0.53,-0.98,-2.05,0
20201201,0.98,-0.23,0.54,0
20201202,0.11,-0.09,1.05,0
20201203,0.18,0.46,-0.05,0
20201204,1.02,1.4,0.85,0
20201207,0.03,0.22,-1.01,0
20201208,0.47,0.97,-0.75,0
20201209,-1.03,-0.06,1.34,0
20201210,0.24,1.09,-0.47,0
20201211,-0.2,-0.36,-0.72,0
20201214,-0.28,0.6,-1.54,0
20201215,1.28,1.05,0.4,0
20201216,0.17,-0.42,-0.37,0
20201217,0.79,0.71,-0.67,0
20201218,-0.12,0.11,-1.15,0
20201221,-0.23,0.13,-0.03,0
20201222,0.06,1.23,-1.62,0
20201223,0.1,0.34,2,0
20201224,0.21,-0.39,-0.17,0
20201228,0.46,-0.72,0.32,0
20201229,-0.4,-1.52,0.24,0
20201230,0.27,0.99,0.04,0
20201231,0.39,-0.87,0.45,0
